device,lambda_W,score,RT_curve_score,onset_score,width_score,lowT_score,note
AS004,0.375,0.34881602082269,0.173204979522261,0.480736842105263,0.159571901903759,0.947535849032956,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.4,0.348655416318222,0.172828659042598,0.482195488721805,0.158909778601211,0.946436815082535,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.425,0.348494811813754,0.172452338562936,0.483654135338346,0.158247655298663,0.945337781132115,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.45,0.348334207309286,0.172076018083273,0.485112781954887,0.157585531996115,0.944238747181694,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.475,0.348173602804817,0.171699697603611,0.486571428571429,0.156923408693567,0.943139713231274,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.5,0.348012998300349,0.171323377123949,0.48803007518797,0.156261285391019,0.942040679280853,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.525,0.347852393795881,0.170947056644286,0.489488721804511,0.155599162088471,0.940941645330433,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.55,0.347691789291413,0.170570736164624,0.490947368421053,0.154937038785923,0.939842611380012,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.575,0.347531184786945,0.170194415684961,0.492406015037594,0.154274915483375,0.938743577429592,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.6,0.347370580282476,0.169818095205299,0.493864661654135,0.153612792180827,0.937644543479171,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.625,0.347209975778008,0.169441774725636,0.495323308270677,0.152950668878279,0.93654550952875,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.65,0.34704937127354,0.169065454245974,0.496781954887218,0.152288545575731,0.93544647557833,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.675,0.346888766769072,0.168689133766311,0.498240601503759,0.151626422273183,0.93434744162791,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.7,0.346728162264603,0.168312813286649,0.499699248120301,0.150964298970635,0.933248407677489,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.725,0.346567557760135,0.167936492806986,0.501157894736842,0.150302175668088,0.932149373727069,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.75,0.346406953255667,0.167560172327324,0.502616541353383,0.14964005236554,0.931050339776648,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.775,0.346246348751199,0.167183851847661,0.504075187969925,0.148977929062992,0.929951305826228,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.8,0.34608574424673,0.166807531367999,0.505533834586466,0.148315805760444,0.928852271875807,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.825,0.345925139742262,0.166431210888336,0.506992481203007,0.147653682457896,0.927753237925387,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.85,0.345764535237794,0.166054890408674,0.508451127819549,0.146991559155348,0.926654203974966,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.875,0.345603930733326,0.165678569929011,0.50990977443609,0.1463294358528,0.925555170024546,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.9,0.345443326228857,0.165302249449349,0.511368421052631,0.145667312550252,0.924456136074125,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.925,0.345282721724389,0.164925928969686,0.512827067669173,0.145005189247704,0.923357102123705,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.95,0.345122117219921,0.164549608490024,0.514285714285714,0.144343065945156,0.922258068173284,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.975,0.345122117219921,0.164549608490024,0.514285714285714,0.144343065945156,0.922258068173284,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,1,0.345122117219921,0.164549608490024,0.514285714285714,0.144343065945156,0.922258068173284,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
