device,variant_id,channel_role,measurement_channel,temperature_K,observed_feature_count,predicted_feature_count,observed_switching_width_A,predicted_switching_width_A,feature_count_error,width_error_A
AS001,NI,secondary,R2_secondary_dVdI,0.1402,2,1,2.6e-07,8.75e-08,1,1.725e-07
AS001,NI,secondary,R2_secondary_dVdI,0.1603,2,1,2.95e-07,8.75e-08,1,2.075e-07
AS001,NI,secondary,R2_secondary_dVdI,0.1801,2,1,2.1e-07,8.75e-08,1,1.225e-07
AS001,NI,secondary,R2_secondary_dVdI,0.2002,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS001,NI,secondary,R2_secondary_dVdI,0.22,2,1,2.3e-07,8.75e-08,1,1.425e-07
AS001,NI,secondary,R2_secondary_dVdI,0.2402,2,1,1.5e-07,8.75e-08,1,6.25000000000001e-08
AS001,NI,secondary,R2_secondary_dVdI,0.2599,2,1,2.1e-07,8.75e-08,1,1.225e-07
AS001,NI,secondary,R2_secondary_dVdI,0.2798,2,1,1.8e-07,8.75e-08,1,9.25000000000002e-08
AS001,NI,secondary,R2_secondary_dVdI,0.3003,2,1,2.5e-07,8.75e-08,1,1.625e-07
AS001,NI,secondary,R2_secondary_dVdI,0.3198,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS001,NI,secondary,R2_secondary_dVdI,0.34,2,1,3e-07,8.75e-08,1,2.125e-07
AS001,NI,secondary,R2_secondary_dVdI,0.3597,2,1,2.8e-07,8.75e-08,1,1.925e-07
AS001,NI,secondary,R2_secondary_dVdI,0.3803,2,1,1.05e-07,8.75e-08,1,1.75000000000001e-08
AS001,NI,secondary,R2_secondary_dVdI,0.4002,2,1,2.4e-07,8.75e-08,1,1.525e-07
AS001,NI,secondary,R2_secondary_dVdI,0.42,2,1,2.7e-07,8.75e-08,1,1.825e-07
AS001,NI,secondary,R2_secondary_dVdI,0.4397,2,1,2.55e-07,8.75e-08,1,1.675e-07
AS001,NI,secondary,R2_secondary_dVdI,0.4599,2,1,1.95e-07,8.75e-08,1,1.075e-07
AS001,NI,secondary,R2_secondary_dVdI,0.48,2,1,3.95e-07,8.75e-08,1,3.075e-07
AS001,NI,secondary,R2_secondary_dVdI,0.5004,2,1,1.85e-07,8.75e-08,1,9.75000000000002e-08
AS001,NI,secondary,R2_secondary_dVdI,0.5207,2,1,2.2e-07,8.75e-08,1,1.325e-07
AS001,NI,secondary,R2_secondary_dVdI,0.5394,2,1,2.15e-07,8.75e-08,1,1.275e-07
AS001,NI,secondary,R2_secondary_dVdI,0.5598,2,1,3.65e-07,8.75e-08,1,2.775e-07
AS001,NI,secondary,R2_secondary_dVdI,0.579,2,1,2.8e-07,8.75e-08,1,1.925e-07
AS001,NI,secondary,R2_secondary_dVdI,0.5995,2,1,3.6e-07,8.75e-08,1,2.725e-07
AS001,NI,secondary,R2_secondary_dVdI,0.6189,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS001,NI,secondary,R2_secondary_dVdI,0.6389,2,1,3.25e-07,8.75e-08,1,2.375e-07
AS001,NI,secondary,R2_secondary_dVdI,0.6602,2,1,2.65e-07,8.75e-08,1,1.775e-07
AS001,NI,secondary,R2_secondary_dVdI,0.6796,2,1,2.3e-07,8.75e-08,1,1.425e-07
AS001,NI,secondary,R2_secondary_dVdI,0.7001,2,1,2.7e-07,8.75e-08,1,1.825e-07
AS001,NI,secondary,R2_secondary_dVdI,0.7197,2,1,1.9e-07,8.75e-08,1,1.025e-07
AS001,NI,secondary,R2_secondary_dVdI,0.7395,2,1,3.5e-07,8.75e-08,1,2.625e-07
AS001,NI,secondary,R2_secondary_dVdI,0.7605,2,1,2.65e-07,8.75e-08,1,1.775e-07
AS001,NI,secondary,R2_secondary_dVdI,0.7811,2,1,4.45e-07,8.75e-08,1,3.575e-07
AS001,NI,secondary,R2_secondary_dVdI,0.8005,2,1,3.8e-07,8.75e-08,1,2.925e-07
AS004,N0,primary,R1_primary_dVdI,0.06,2,0,5.50000000000001e-08,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.0801,2,0,4.5e-08,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.0999,2,0,4e-08,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.1203,2,0,4.5e-08,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.14,2,0,1e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.1601,2,0,1.65e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.1801,2,0,1.8e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2001,2,0,1.7e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2202,2,0,2.15e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2397,2,0,3.7e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2599,2,0,2e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2796,2,0,2.4e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.2998,2,0,2.1e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.3198,2,0,3.45e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.3401,2,0,4.5e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.3599,2,0,3.55e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.3801,2,0,4.15e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4001,2,0,3.2e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4203,2,0,2.45e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4402,2,0,3.55e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4604,2,0,3.1e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4795,2,0,3.15e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.4997,2,0,2.2e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.5194,2,0,1.45e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.5408,2,0,3.55e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.5608,2,0,3.15e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.5801,2,0,5.55000000000001e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6001,2,0,4e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6197,2,0,3.15e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6394,2,0,3.25e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6599,2,0,3.3e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6795,2,0,2.35e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.6995,2,0,4.1e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.719,2,0,5.35000000000001e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.7407,2,0,3.25e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.7601,2,0,2.95e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.78,2,0,4.9e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.8,2,0,3.55e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.8197,2,0,3.45e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.8382,2,0,3.4e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.8608,2,0,2.85e-07,Inf,2,NaN
AS004,N0,primary,R1_primary_dVdI,0.8805,2,0,2.2e-07,Inf,2,NaN
AS004,NI,primary,R1_primary_dVdI,0.06,2,1,5.50000000000001e-08,8.75e-08,1,3.25e-08
AS004,NI,primary,R1_primary_dVdI,0.0801,2,1,4.5e-08,8.75e-08,1,4.25e-08
AS004,NI,primary,R1_primary_dVdI,0.0999,2,1,4e-08,8.75e-08,1,4.75e-08
AS004,NI,primary,R1_primary_dVdI,0.1203,2,1,4.5e-08,8.75e-08,1,4.25e-08
AS004,NI,primary,R1_primary_dVdI,0.14,2,1,1e-07,8.75e-08,1,1.25000000000001e-08
AS004,NI,primary,R1_primary_dVdI,0.1601,2,1,1.65e-07,8.75e-08,1,7.75000000000002e-08
AS004,NI,primary,R1_primary_dVdI,0.1801,2,1,1.8e-07,8.75e-08,1,9.25000000000002e-08
AS004,NI,primary,R1_primary_dVdI,0.2001,2,1,1.7e-07,8.75e-08,1,8.25000000000002e-08
AS004,NI,primary,R1_primary_dVdI,0.2202,2,1,2.15e-07,8.75e-08,1,1.275e-07
AS004,NI,primary,R1_primary_dVdI,0.2397,2,1,3.7e-07,8.75e-08,1,2.825e-07
AS004,NI,primary,R1_primary_dVdI,0.2599,2,1,2e-07,8.75e-08,1,1.125e-07
AS004,NI,primary,R1_primary_dVdI,0.2796,2,1,2.4e-07,8.75e-08,1,1.525e-07
AS004,NI,primary,R1_primary_dVdI,0.2998,2,1,2.1e-07,8.75e-08,1,1.225e-07
AS004,NI,primary,R1_primary_dVdI,0.3198,2,1,3.45e-07,8.75e-08,1,2.575e-07
AS004,NI,primary,R1_primary_dVdI,0.3401,2,1,4.5e-07,8.75e-08,1,3.625e-07
AS004,NI,primary,R1_primary_dVdI,0.3599,2,1,3.55e-07,8.75e-08,1,2.675e-07
AS004,NI,primary,R1_primary_dVdI,0.3801,2,1,4.15e-07,8.75e-08,1,3.275e-07
AS004,NI,primary,R1_primary_dVdI,0.4001,2,1,3.2e-07,8.75e-08,1,2.325e-07
AS004,NI,primary,R1_primary_dVdI,0.4203,2,1,2.45e-07,8.75e-08,1,1.575e-07
AS004,NI,primary,R1_primary_dVdI,0.4402,2,1,3.55e-07,8.75e-08,1,2.675e-07
AS004,NI,primary,R1_primary_dVdI,0.4604,2,1,3.1e-07,8.75e-08,1,2.225e-07
AS004,NI,primary,R1_primary_dVdI,0.4795,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS004,NI,primary,R1_primary_dVdI,0.4997,2,1,2.2e-07,8.75e-08,1,1.325e-07
AS004,NI,primary,R1_primary_dVdI,0.5194,2,1,1.45e-07,8.75e-08,1,5.75000000000001e-08
AS004,NI,primary,R1_primary_dVdI,0.5408,2,1,3.55e-07,8.75e-08,1,2.675e-07
AS004,NI,primary,R1_primary_dVdI,0.5608,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS004,NI,primary,R1_primary_dVdI,0.5801,2,1,5.55000000000001e-07,8.75e-08,1,4.67500000000001e-07
AS004,NI,primary,R1_primary_dVdI,0.6001,2,1,4e-07,8.75e-08,1,3.125e-07
AS004,NI,primary,R1_primary_dVdI,0.6197,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS004,NI,primary,R1_primary_dVdI,0.6394,2,1,3.25e-07,8.75e-08,1,2.375e-07
AS004,NI,primary,R1_primary_dVdI,0.6599,2,1,3.3e-07,8.75e-08,1,2.425e-07
AS004,NI,primary,R1_primary_dVdI,0.6795,2,1,2.35e-07,8.75e-08,1,1.475e-07
AS004,NI,primary,R1_primary_dVdI,0.6995,2,1,4.1e-07,8.75e-08,1,3.225e-07
AS004,NI,primary,R1_primary_dVdI,0.719,2,1,5.35000000000001e-07,8.75e-08,1,4.47500000000001e-07
AS004,NI,primary,R1_primary_dVdI,0.7407,2,1,3.25e-07,8.75e-08,1,2.375e-07
AS004,NI,primary,R1_primary_dVdI,0.7601,2,1,2.95e-07,8.75e-08,1,2.075e-07
AS004,NI,primary,R1_primary_dVdI,0.78,2,1,4.9e-07,8.75e-08,1,4.025e-07
AS004,NI,primary,R1_primary_dVdI,0.8,2,1,3.55e-07,8.75e-08,1,2.675e-07
AS004,NI,primary,R1_primary_dVdI,0.8197,2,1,3.45e-07,8.75e-08,1,2.575e-07
AS004,NI,primary,R1_primary_dVdI,0.8382,2,1,3.4e-07,8.75e-08,1,2.525e-07
AS004,NI,primary,R1_primary_dVdI,0.8608,2,1,2.85e-07,8.75e-08,1,1.975e-07
AS004,NI,primary,R1_primary_dVdI,0.8805,2,1,2.2e-07,8.75e-08,1,1.325e-07
AS004,N0,secondary,R2_secondary_dVdI,0.06,2,0,5.00000000000001e-08,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.0801,2,0,5.50000000000001e-08,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.0999,2,0,5.50000000000001e-08,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.1203,2,0,6.00000000000001e-08,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.14,2,0,1.1e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.1601,2,0,2.6e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.1801,2,0,2.5e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2001,2,0,1.7e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2202,2,0,1.95e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2397,2,0,3.35e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2599,2,0,2.4e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2796,2,0,3.35e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.2998,2,0,2.6e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.3198,2,0,2.15e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.3401,2,0,2.05e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.3599,2,0,2.25e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.3801,2,0,1.9e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4001,2,0,3.1e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4203,2,0,3.4e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4402,2,0,2e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4604,2,0,2.1e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4795,2,0,1.25e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.4997,2,0,2.6e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.5194,2,0,3.3e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.5408,2,0,2.8e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.5608,2,0,1.9e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.5801,2,0,2.3e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6001,2,0,1.3e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6197,2,0,1.2e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6394,2,0,2.35e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6599,2,0,2e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6795,2,0,2.95e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.6995,2,0,2.9e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.719,2,0,3.05e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.7407,2,0,3e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.7601,2,0,3.05e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.78,2,0,3.95e-07,Inf,2,NaN
