device,variant_id,channel_role,measurement_channel,temperature_K,observed_positive_Ic_A,observed_negative_Ic_abs_A,predicted_Ic_abs_A,positive_switch_error_A,negative_switch_error_A,switching_status
AS001,N0,primary,R1_primary_dVdI,0.4599,1.785e-06,1.395e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.48,5.45e-07,9.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.5004,2.375e-06,1.955e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.5207,7.55e-07,1.605e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.5394,1.615e-06,1.125e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.5598,1.005e-06,7.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.579,1.325e-06,2.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.5995,2.235e-06,3.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.6189,2.335e-06,1.155e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.6389,2.135e-06,1.045e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.6602,1.115e-06,1.305e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.6796,2.465e-06,5.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.7001,1.975e-06,2.205e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.7197,5.05e-07,2.105e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.7395,1.655e-06,1.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.7605,2.15e-07,1.325e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.7811,1.675e-06,1.285e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.8005,2.215e-06,5.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,NI,primary,R1_primary_dVdI,0.0602,9.5e-08,5.5e-08,8.75e-07,7.8e-07,8.2e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.0801,4.35e-07,6.35e-07,8.74367735632365e-07,4.39367735632365e-07,2.39367735632365e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.1,1.45e-07,2.235e-06,8.7247094252946e-07,7.2747094252946e-07,1.36252905747054e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.12,8.75e-07,9.35e-07,8.6929054147815e-07,5.70945852185013e-09,6.570945852185e-08,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.1402,5.65e-07,9.75e-07,8.64781844011857e-07,2.99781844011857e-07,1.10218155988143e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.1603,1.715e-06,2.045e-06,8.59002183565195e-07,8.55997816434806e-07,1.18599781643481e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.1801,6.05e-07,1.355e-06,8.52047451145765e-07,2.47047451145765e-07,5.02952548854235e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.2002,2.375e-06,5e-09,8.43706897286311e-07,1.53129310271369e-06,8.38706897286311e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.22,1.685e-06,8.35e-07,8.34229493743834e-07,8.50770506256166e-07,7.70506256166489e-10,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.2402,1.975e-06,1.95e-07,8.23270585310025e-07,1.15172941468998e-06,6.28270585310025e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.2599,3.45e-07,1.565e-06,8.11327971806064e-07,4.66327971806064e-07,7.53672028193936e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.2798,2.365e-06,7.35e-07,7.98005939175441e-07,1.56699406082456e-06,6.30059391754412e-08,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.3003,9.05e-07,1.775e-06,7.82959943970931e-07,1.22040056029069e-07,9.92040056029069e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.3198,2.25e-07,7.25e-07,7.67402561990952e-07,5.42402561990952e-07,4.24025619909522e-08,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.34,5.95e-07,1.95e-07,7.50006343011563e-07,1.55006343011563e-07,5.55006343011563e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.3597,1.855e-06,2.355e-06,7.31785758331962e-07,1.12321424166804e-06,1.62321424166804e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.3803,1.955e-06,1.085e-06,7.11407306663958e-07,1.24359269333604e-06,3.73592693336042e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.4002,3.05e-07,1.95e-07,6.90434557464163e-07,3.85434557464163e-07,4.95434557464163e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.42,2.25e-07,3.85e-07,6.68312185886358e-07,4.43312185886358e-07,2.83312185886358e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.4397,2.075e-06,1.505e-06,6.45059159382596e-07,1.4299408406174e-06,8.59940840617404e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.4599,1.785e-06,1.395e-06,6.19929137453156e-07,1.16507086254684e-06,7.75070862546844e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.48,5.45e-07,9.85e-07,5.93630238308016e-07,4.86302383080164e-08,3.91369761691983e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.5004,2.375e-06,1.955e-06,5.65619718205519e-07,1.80938028179448e-06,1.38938028179448e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.5207,7.55e-07,1.605e-06,5.36427388533649e-07,2.18572611466351e-07,1.06857261146635e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.5394,1.615e-06,1.125e-06,5.08371541329822e-07,1.10662845867018e-06,6.16628458670178e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.5598,1.005e-06,7.55e-07,4.76491661008515e-07,5.28508338991485e-07,2.78508338991485e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.579,1.325e-06,2.15e-07,4.4527315083354e-07,8.7972684916646e-07,2.3027315083354e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.5995,2.235e-06,3.55e-07,4.10641505138756e-07,1.82435849486124e-06,5.56415051387563e-08,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.6189,2.335e-06,1.155e-06,3.76632288836469e-07,1.95836771116353e-06,7.78367711163531e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.6389,2.135e-06,1.045e-06,3.40313130646113e-07,1.79468686935389e-06,7.04686869353887e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.6602,1.115e-06,1.305e-06,3.00228725666944e-07,8.14771274333056e-07,1.00477127433306e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.6796,2.465e-06,5.5e-08,2.62459291824495e-07,2.2025407081755e-06,2.07459291824495e-07,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.7001,1.975e-06,2.205e-06,2.21242363912728e-07,1.75375763608727e-06,1.98375763608727e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.7197,5.05e-07,2.105e-06,1.80580106246561e-07,3.24419893753439e-07,1.92441989375344e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.7395,1.655e-06,1.35e-07,1.38257398232321e-07,1.51674260176768e-06,3.25739823232102e-09,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.7605,2.15e-07,1.325e-06,9.20017219782446e-08,1.22998278021755e-07,1.23299827802176e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.7811,1.675e-06,1.285e-06,4.52588951374331e-08,1.62974110486257e-06,1.23974110486257e-06,both_have_switching
AS001,NI,primary,R1_primary_dVdI,0.8005,2.215e-06,5.45e-07,4.375e-08,2.17125e-06,5.0125e-07,both_have_switching
AS001,N0,secondary,R2_secondary_dVdI,0.0602,5.5e-08,3.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.0801,1.745e-06,3.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.1,2.35e-07,5.75e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.12,2.05e-07,2.195e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.1402,2.95e-07,4.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.1603,6.35e-07,1.665e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.1801,1.205e-06,6.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.2002,1.545e-06,2.175e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.22,2.355e-06,2.225e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.2402,2.005e-06,7.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.2599,1.165e-06,2.465e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.2798,5.55e-07,1.145e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.3003,9.75e-07,2.065e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.3198,1.765e-06,5.05e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.34,1.415e-06,1.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.3597,1.475e-06,3.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.3803,2.315e-06,1.895e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.4002,2.355e-06,2.035e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.42,1.625e-06,9.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.4397,2.285e-06,1.285e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.4599,1.105e-06,1.615e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.48,8.85e-07,1.785e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.5004,5.95e-07,2.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.5207,5.65e-07,2.305e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.5394,5.55e-07,1.125e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.5598,3.45e-07,2.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.579,5.95e-07,2.085e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.5995,9.95e-07,1.115e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.6189,1.025e-06,2.345e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.6389,1.65e-07,2.145e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.6602,6.35e-07,1.745e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.6796,2.135e-06,2.115e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.7001,1.065e-06,3.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.7197,6.05e-07,9.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.7395,1.205e-06,2.215e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.7605,1.395e-06,1.455e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.7811,2.265e-06,1.845e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,secondary,R2_secondary_dVdI,0.8005,2.125e-06,3.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,NI,secondary,R2_secondary_dVdI,0.0602,5.5e-08,3.5e-08,8.75e-07,8.2e-07,8.4e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.0801,1.745e-06,3.5e-08,8.74367735632365e-07,8.70632264367635e-07,8.39367735632365e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.1,2.35e-07,5.75e-07,8.7247094252946e-07,6.3747094252946e-07,2.9747094252946e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.12,2.05e-07,2.195e-06,8.6929054147815e-07,6.6429054147815e-07,1.32570945852185e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.1402,2.95e-07,4.95e-07,8.64781844011857e-07,5.69781844011857e-07,3.69781844011857e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.1603,6.35e-07,1.665e-06,8.59002183565195e-07,2.24002183565194e-07,8.05997816434806e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.1801,1.205e-06,6.25e-07,8.52047451145765e-07,3.52952548854235e-07,2.27047451145765e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.2002,1.545e-06,2.175e-06,8.43706897286311e-07,7.01293102713689e-07,1.33129310271369e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.22,2.355e-06,2.225e-06,8.34229493743834e-07,1.52077050625617e-06,1.39077050625617e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.2402,2.005e-06,7.15e-07,8.23270585310025e-07,1.18172941468997e-06,1.08270585310025e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.2599,1.165e-06,2.465e-06,8.11327971806064e-07,3.53672028193936e-07,1.65367202819394e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.2798,5.55e-07,1.145e-06,7.98005939175441e-07,2.43005939175441e-07,3.46994060824559e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.3003,9.75e-07,2.065e-06,7.82959943970931e-07,1.92040056029069e-07,1.28204005602907e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.3198,1.765e-06,5.05e-07,7.67402561990952e-07,9.97597438009048e-07,2.62402561990952e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.34,1.415e-06,1.25e-07,7.50006343011563e-07,6.64993656988437e-07,6.25006343011563e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.3597,1.475e-06,3.65e-07,7.31785758331962e-07,7.43214241668038e-07,3.66785758331962e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.3803,2.315e-06,1.895e-06,7.11407306663958e-07,1.60359269333604e-06,1.18359269333604e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.4002,2.355e-06,2.035e-06,6.90434557464163e-07,1.66456544253584e-06,1.34456544253584e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.42,1.625e-06,9.95e-07,6.68312185886358e-07,9.56687814113642e-07,3.26687814113642e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.4397,2.285e-06,1.285e-06,6.45059159382596e-07,1.6399408406174e-06,6.39940840617404e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.4599,1.105e-06,1.615e-06,6.19929137453156e-07,4.85070862546844e-07,9.95070862546844e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.48,8.85e-07,1.785e-06,5.93630238308016e-07,2.91369761691984e-07,1.19136976169198e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.5004,5.95e-07,2.65e-07,5.65619718205519e-07,2.93802817944811e-08,3.00619718205519e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.5207,5.65e-07,2.305e-06,5.36427388533649e-07,2.85726114663515e-08,1.76857261146635e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.5394,5.55e-07,1.125e-06,5.08371541329822e-07,4.66284586701776e-08,6.16628458670178e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.5598,3.45e-07,2.65e-07,4.76491661008515e-07,1.31491661008515e-07,2.11491661008515e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.579,5.95e-07,2.085e-06,4.4527315083354e-07,1.4972684916646e-07,1.63972684916646e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.5995,9.95e-07,1.115e-06,4.10641505138756e-07,5.84358494861244e-07,7.04358494861244e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.6189,1.025e-06,2.345e-06,3.76632288836469e-07,6.48367711163531e-07,1.96836771116353e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.6389,1.65e-07,2.145e-06,3.40313130646113e-07,1.75313130646113e-07,1.80468686935389e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.6602,6.35e-07,1.745e-06,3.00228725666944e-07,3.34771274333056e-07,1.44477127433306e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.6796,2.135e-06,2.115e-06,2.62459291824495e-07,1.8725407081755e-06,1.8525407081755e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.7001,1.065e-06,3.35e-07,2.21242363912728e-07,8.43757636087272e-07,1.13757636087272e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.7197,6.05e-07,9.15e-07,1.80580106246561e-07,4.24419893753439e-07,7.34419893753439e-07,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.7395,1.205e-06,2.215e-06,1.38257398232321e-07,1.06674260176768e-06,2.07674260176768e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.7605,1.395e-06,1.455e-06,9.20017219782446e-08,1.30299827802176e-06,1.36299827802176e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.7811,2.265e-06,1.845e-06,4.52588951374331e-08,2.21974110486257e-06,1.79974110486257e-06,both_have_switching
AS001,NI,secondary,R2_secondary_dVdI,0.8005,2.125e-06,3.65e-07,4.375e-08,2.08125e-06,3.2125e-07,both_have_switching
AS004,N0,primary,R1_primary_dVdI,0.06,4.65e-07,4.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.0801,4.55e-07,4.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.0999,4.35e-07,4.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.1203,3.85e-07,3.75e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.14,3.35e-07,3.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.1601,2.05e-07,2.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.1801,1.25e-07,1.05e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2001,6.5e-08,3.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2202,1.95e-07,6.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2397,4.95e-07,5.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2599,4.25e-07,5.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2796,3.25e-07,4.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.2998,3.55e-07,3.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.3198,2.65e-07,2.175e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.3401,6.75e-07,1.185e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.3599,8.95e-07,1.485e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.3801,4.85e-07,1.965e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4001,1.575e-06,2.305e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4203,8.15e-07,1.515e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4402,6.05e-07,9.75e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4604,2.045e-06,2.285e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4795,1.65e-07,1.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.4997,2.305e-06,2.225e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.5194,1.255e-06,4.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.5408,4.05e-07,6.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.5608,9.25e-07,5.05e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.5801,1.845e-06,3.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6001,2.175e-06,4.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6197,2.215e-06,6.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6394,1.965e-06,2.275e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6599,2.05e-07,1.315e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6795,1.545e-06,8.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.6995,1.755e-06,7.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.719,1.435e-06,1.155e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.7407,9.15e-07,1.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.7601,8.55e-07,1.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.78,2.075e-06,4.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.8,1.805e-06,1.925e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
