observable,parameter,local_derivative,derivative_class
IT_channel_asymmetry,Ic0_scale,1.6,strongly_nonlinear_or_threshold_sensitive
IT_channel_asymmetry,B_supp_scale,0.05,locally_linear
IB_Ic_field_envelope,Tc_scale,0,locally_linear
IB_Ic_field_envelope,Tc_heterogeneity_amplitude,0.114285714285714,locally_linear
IB_Ic_field_envelope,W_boundary_class,1.4,locally_linear
IB_Ic_field_envelope,W_coverage_class,0.7,locally_linear
IB_Ic_field_envelope,W_crack_class,0.25,locally_linear_low_response
IB_Ic_field_envelope,residual_shunt,0.133333333333333,locally_linear_low_response
IB_Ic_field_envelope,Ic0_scale,2.4,locally_linear_low_response
IB_Ic_field_envelope,B_supp_scale,4.7,locally_linear_low_response
IB_low_current_field_response,Tc_scale,0,locally_linear_low_response
IB_low_current_field_response,Tc_heterogeneity_amplitude,0.0571428571428571,locally_linear_low_response
IB_low_current_field_response,W_boundary_class,1,locally_linear_low_response
IB_low_current_field_response,W_coverage_class,0.5,locally_linear_low_response
IB_low_current_field_response,W_crack_class,0.2,strongly_nonlinear_or_threshold_sensitive
IB_low_current_field_response,residual_shunt,0.0666666666666667,weakly_nonlinear
IB_low_current_field_response,Ic0_scale,1.44,locally_linear
IB_low_current_field_response,B_supp_scale,4.4,locally_linear
IB_high_current_field_response,Tc_scale,0,weakly_nonlinear
IB_high_current_field_response,Tc_heterogeneity_amplitude,0,locally_linear
IB_high_current_field_response,W_boundary_class,0.6,locally_linear
IB_high_current_field_response,W_coverage_class,0.4,locally_linear
IB_high_current_field_response,W_crack_class,0.1,locally_linear_low_response
IB_high_current_field_response,residual_shunt,0.0333333333333333,locally_linear_low_response
IB_high_current_field_response,Ic0_scale,0.56,locally_linear_low_response
IB_high_current_field_response,B_supp_scale,3.2,locally_linear_low_response
IB_R1_R2_difference,Tc_scale,0,locally_linear_low_response
IB_R1_R2_difference,Tc_heterogeneity_amplitude,0.0857142857142857,locally_linear_low_response
IB_R1_R2_difference,W_boundary_class,1.6,locally_linear_low_response
IB_R1_R2_difference,W_coverage_class,0.8,locally_linear_low_response
IB_R1_R2_difference,W_crack_class,0.25,strongly_nonlinear_or_threshold_sensitive
IB_R1_R2_difference,residual_shunt,0.1,strongly_nonlinear_or_threshold_sensitive
IB_R1_R2_difference,Ic0_scale,1.12,weakly_nonlinear
IB_R1_R2_difference,B_supp_scale,2.9,weakly_nonlinear
